source link,Category,Date,County,Value,LastReportedDate
,Households,10/1/2017,Chester,1369,10/25/2018
,Households,10/1/2017,Claiborne,3434,10/25/2018
,Households,10/1/2017,Clay,921,10/25/2018
,Households,10/1/2017,Cocke,5077,10/25/2018
,Households,10/1/2017,Coffee,4556,10/25/2018
,Households,10/1/2017,Crockett,1267,10/25/2018
,Households,10/1/2017,Cumberland,4473,10/25/2018
,Households,10/1/2017,Davidson,37250,10/25/2018
,Households,10/1/2017,Decatur,1181,10/25/2018
,Households,10/1/2017,DeKalb,1907,10/25/2018
,Households,10/1/2017,Dickson,3709,10/25/2018
,Households,10/1/2017,Dyer,3975,10/25/2018
,Households,10/1/2017,Fayette,3156,10/25/2018
,Households,10/1/2017,Fentress,2364,10/25/2018
,Households,10/1/2017,Franklin,2443,10/25/2018
,Households,10/1/2017,Gibson,4519,10/25/2018
,Households,10/1/2017,Giles,2243,10/25/2018
,Households,10/1/2017,Grainger,2108,10/25/2018
,Households,10/1/2017,Greene,5125,10/25/2018
,Households,10/1/2017,Grundy,1955,10/25/2018
,Households,10/1/2017,Hamblen,5464,10/25/2018
,Households,10/1/2017,Hamilton,26041,10/25/2018
,Households,10/1/2017,Hancock,1317,10/25/2018
,Households,10/1/2017,Hardeman,2667,10/25/2018
,Households,10/1/2017,Hardin,3025,10/25/2018
,Households,10/1/2017,Hawkins,5295,10/25/2018
,Households,10/1/2017,Haywood,2462,10/25/2018
,Households,10/1/2017,Henderson,2866,10/25/2018
,Households,10/1/2017,Henry,3240,10/25/2018
,Households,10/1/2017,Hickman,2258,10/25/2018
,Households,10/1/2017,Houston,670,10/25/2018
,Households,10/1/2017,Humphreys,1369,10/25/2018
,Households,10/1/2017,Jackson,1281,10/25/2018
,Households,10/1/2017,Jefferson,3951,10/25/2018
,Households,10/1/2017,Johnson,2076,10/25/2018
,Households,10/1/2017,Knox,25391,10/25/2018
,Households,10/1/2017,Lake,1063,10/25/2018
,Households,10/1/2017,Lauderdale,3106,10/25/2018
,Households,10/1/2017,Lawrence,3346,10/25/2018
,Households,10/1/2017,Lewis,1029,10/25/2018
,Households,10/1/2017,Lincoln,2296,10/25/2018
,Households,10/1/2017,Loudon,2503,10/25/2018
,Households,10/1/2017,Macon,2497,10/25/2018
,Households,10/1/2017,Madison,8543,10/25/2018
,Households,10/1/2017,Marion,2663,10/25/2018
,Households,10/1/2017,Marshall,2003,10/25/2018
,Households,10/1/2017,Maury,5290,10/25/2018
