source link,Year,County,Value,LastReportedDate
,2016,Montgomery,0.15,1/30/2019
,2016,Moore,0.1,1/30/2019
,2016,Morgan,0.23,1/30/2019
,2016,Obion,0.21,1/30/2019
,2016,Overton,0.2,1/30/2019
,2016,Perry,0.28,1/30/2019
,2016,Pickett,0.16,1/30/2019
,2016,Polk,0.17,1/30/2019
,2016,Putnam,0.24,1/30/2019
,2016,Rhea,0.22,1/30/2019
,2016,Roane,0.16,1/30/2019
,2016,Robertson,0.1,1/30/2019
,2016,Rutherford,0.12,1/30/2019
,2016,Scott,0.27,1/30/2019
,2016,Sequatchie,0.16,1/30/2019
,2016,Sevier,0.15,1/30/2019
,2016,Shelby,0.21,1/30/2019
,2016,Smith,0.16,1/30/2019
,2016,Stewart,0.19,1/30/2019
,2016,Sullivan,0.16,1/30/2019
,2016,Sumner,0.09,1/30/2019
,2016,Tennessee,0.17,1/30/2019
,2016,Tipton,0.13,1/30/2019
,2016,Trousdale,0.13,1/30/2019
,2016,Unicoi,0.21,1/30/2019
,2016,Union,0.23,1/30/2019
,2016,VanBuren,0.19,1/30/2019
,2016,Warren,0.2,1/30/2019
,2016,Washington,0.17,1/30/2019
,2016,Wayne,0.18,1/30/2019
,2016,Weakley,0.19,1/30/2019
,2016,White,0.18,1/30/2019
,2016,Williamson,0.05,1/30/2019
,2016,Wilson,0.09,1/30/2019
,2017,Anderson,0.16,1/30/2019
,2017,Bedford,0.22,1/30/2019
,2017,Benton,0.2,1/30/2019
,2017,Bledsoe,0.13,1/30/2019
,2017,Blount,0.18,1/30/2019
,2017,Bradley,0.2,1/30/2019
,2017,Campbell,0.17,1/30/2019
,2017,Cannon,0.19,1/30/2019
,2017,Carroll,0.24,1/30/2019
,2017,Carter,0.12,1/30/2019
,2017,Cheatham,0.18,1/30/2019
,2017,Chester,0.22,1/30/2019
,2017,Claiborne,0.26,1/30/2019
,2017,Clay,0.25,1/30/2019
,2017,Cocke,0.15,1/30/2019
,2017,Coffee,0.17,1/30/2019
,2017,Crockett,0.16,1/30/2019
,2017,Cumberland,0.16,1/30/2019
,2017,Davidson,0.22,1/30/2019
,2017,Decatur,0.18,1/30/2019
,2017,DeKalb,0.14,1/30/2019
,2017,Dickson,0.18,1/30/2019
,2017,Dyer,0.14,1/30/2019
,2017,Fayette,0.23,1/30/2019
,2017,Fentress,0.15,1/30/2019
,2017,Franklin,0.17,1/30/2019
,2017,Gibson,0.15,1/30/2019
,2017,Giles,0.18,1/30/2019
,2017,Grainger,0.17,1/30/2019
,2017,Greene,0.28,1/30/2019
,2017,Grundy,0.19,1/30/2019
,2017,Hamblen,0.14,1/30/2019
